Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/16/2020,2/1/2020,9/12/2020,United States,Male,Under 1 year,13,6006,65,2,8,84,
9/16/2020,2/1/2020,9/12/2020,United States,Male,0-17 years,55,11327,177,11,64,285,
9/16/2020,2/1/2020,9/12/2020,United States,Male,1-4 years,7,1213,36,1,25,67,
9/16/2020,2/1/2020,9/12/2020,United States,Male,5-14 years,21,1911,53,7,23,90,
9/16/2020,2/1/2020,9/12/2020,United States,Male,15-24 years,207,15398,265,74,27,422,
9/16/2020,2/1/2020,9/12/2020,United States,Male,18-29 years,521,27110,615,204,53,978,
9/16/2020,2/1/2020,9/12/2020,United States,Male,25-34 years,934,30289,962,406,76,1557,
9/16/2020,2/1/2020,9/12/2020,United States,Male,30-49 years,5735,84586,4928,2577,304,8334,
9/16/2020,2/1/2020,9/12/2020,United States,Male,35-44 years,2514,40013,2225,1106,132,3742,
9/16/2020,2/1/2020,9/12/2020,United States,Male,45-54 years,6619,70196,5698,3092,342,9495,
9/16/2020,2/1/2020,9/12/2020,United States,Male,50-64 years,19037,199545,18425,9114,916,29071,
9/16/2020,2/1/2020,9/12/2020,United States,Male,55-64 years,15033,157542,14841,7218,704,23211,
9/16/2020,2/1/2020,9/12/2020,United States,Male,65-74 years,24088,225437,24778,11639,810,37883,
9/16/2020,2/1/2020,9/12/2020,United States,Male,75-84 years,26451,246115,28409,12553,733,42923,
9/16/2020,2/1/2020,9/12/2020,United States,Male,85 years and over,22496,227149,24513,9916,565,37573,
9/16/2020,2/1/2020,9/12/2020,United States,Female,Under 1 year,7,4852,38,1,8,52,
9/16/2020,2/1/2020,9/12/2020,United States,Female,0-17 years,37,7949,136,6,59,226,
9/16/2020,2/1/2020,9/12/2020,United States,Female,1-4 years,7,870,36,1,17,59,
9/16/2020,2/1/2020,9/12/2020,United States,Female,5-14 years,9,1315,49,1,29,86,
9/16/2020,2/1/2020,9/12/2020,United States,Female,15-24 years,126,5387,159,45,26,265,
9/16/2020,2/1/2020,9/12/2020,United States,Female,18-29 years,277,9836,382,128,47,575,
9/16/2020,2/1/2020,9/12/2020,United States,Female,25-34 years,471,12628,593,220,75,914,
9/16/2020,2/1/2020,9/12/2020,United States,Female,30-49 years,2625,44317,2853,1166,261,4551,
9/16/2020,2/1/2020,9/12/2020,United States,Female,35-44 years,1161,20657,1281,513,115,2038,
9/16/2020,2/1/2020,9/12/2020,United States,Female,45-54 years,3074,41411,3390,1417,235,5249,
9/16/2020,2/1/2020,9/12/2020,United States,Female,50-64 years,10017,123240,11672,4871,671,17398,
9/16/2020,2/1/2020,9/12/2020,United States,Female,55-64 years,8101,98222,9497,3973,533,14087,
9/16/2020,2/1/2020,9/12/2020,United States,Female,65-74 years,15040,162354,16439,7148,640,24888,
9/16/2020,2/1/2020,9/12/2020,United States,Female,75-84 years,21684,227398,22393,9722,743,35008,
9/16/2020,2/1/2020,9/12/2020,United States,Female,85 years and over,34028,361331,30391,12632,820,52515,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,Under 1 year,0,18,0,0,0,0,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,0-17 years,0,19,0,0,0,0,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,1-4 years,0,0,0,0,0,0,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,5-14 years,0,0,0,0,0,0,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,15-24 years,0,1,0,0,0,0,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,18-29 years,0,0,0,0,0,0,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,25-34 years,0,2,0,0,0,0,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,30-49 years,0,6,0,0,0,0,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,35-44 years,0,3,0,0,0,0,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,45-54 years,1,3,1,1,0,1,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,50-64 years,1,9,2,1,1,3,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,55-64 years,0,7,1,0,1,2,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,65-74 years,1,10,1,1,0,1,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,75-84 years,1,10,1,1,0,1,
9/16/2020,2/1/2020,9/12/2020,United States,Unknown,85 years and over,1,18,1,1,0,1,
